TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,POSTED_TS,TRANSACTION_TYPE,TRANSACTION_CHANNEL,DEBIT_CREDIT_INDICATOR,AMOUNT,SIGNED_AMOUNT,DESCRIPTION,MERCHANT_NAME,BRANCH_ID,REFERENCE_NUMBER,TRANSACTION_STATUS,CREATED_TS
15,30,2025-08-14,2025-08-16 02:27:02,ATM,ATM,DEBIT,274.3,-274.3,Synthetic atm transaction,,,TXN00000000000015,POSTED,2025-08-14 00:00:00
16,18,2018-06-10,2018-06-12 09:27:31,FEE,INTERNAL,DEBIT,31.35,-31.35,Synthetic fee transaction,,,TXN00000000000016,POSTED,2018-06-10 00:00:00
17,97,2025-10-31,2025-11-02 11:08:58,DEBIT_CARD,CARD,DEBIT,246.01,-246.01,Synthetic debit card transaction,River Cafe,,TXN00000000000017,POSTED,2025-10-31 00:00:00
18,138,2024-03-05,2024-03-06 17:00:44,CHECK,BRANCH,DEBIT,682.03,-682.03,Synthetic check transaction,,12.0,TXN00000000000018,POSTED,2024-03-05 00:00:00
19,103,2026-05-03,2026-05-04 16:37:54,DEBIT_CARD,CARD,DEBIT,118.66,-118.66,Synthetic debit card transaction,Online Marketplace,,TXN00000000000019,POSTED,2026-05-03 00:00:00
20,149,2026-03-12,2026-03-13 12:26:34,CHECK,MOBILE,DEBIT,3093.92,-3093.92,Synthetic check transaction,,,TXN00000000000020,POSTED,2026-03-12 00:00:00
21,39,2015-07-26,2015-07-28 12:32:04,WITHDRAWAL,ATM,DEBIT,2302.96,-2302.96,Synthetic withdrawal transaction,,,TXN00000000000021,POSTED,2015-07-26 00:00:00
22,37,2024-07-09,2024-07-11 02:44:12,DEBIT_CARD,CARD,DEBIT,158.69,-158.69,Synthetic debit card transaction,North Star Grocery,,TXN00000000000022,POSTED,2024-07-09 00:00:00
23,116,2016-11-17,2016-11-19 23:38:43,ACH,ACH,DEBIT,4070.91,-4070.91,Synthetic ach transaction,,,TXN00000000000023,POSTED,2016-11-17 00:00:00
24,63,2021-04-21,2021-04-21 13:34:20,ACH,ACH,DEBIT,4791.59,-4791.59,Synthetic ach transaction,,,TXN00000000000024,POSTED,2021-04-21 00:00:00
25,111,2015-07-15,2015-07-17 06:46:57,ACH,ACH,DEBIT,4235.8,-4235.8,Synthetic ach transaction,,,TXN00000000000025,POSTED,2015-07-15 00:00:00
26,17,2024-12-13,2024-12-14 11:38:35,ACH,ACH,DEBIT,705.88,-705.88,Synthetic ach transaction,,,TXN00000000000026,POSTED,2024-12-13 00:00:00
27,136,2019-06-16,2019-06-18 11:15:16,DEBIT_CARD,CARD,DEBIT,158.52,-158.52,Synthetic debit card transaction,Pine Pharmacy,,TXN00000000000027,POSTED,2019-06-16 00:00:00
28,77,2023-11-13,2023-11-15 02:29:40,CHECK,MOBILE,DEBIT,1235.41,-1235.41,Synthetic check transaction,,,TXN00000000000028,POSTED,2023-11-13 00:00:00
29,37,2025-06-07,2025-06-08 22:59:11,DEBIT_CARD,CARD,DEBIT,220.54,-220.54,Synthetic debit card transaction,Online Marketplace,,TXN00000000000029,POSTED,2025-06-07 00:00:00
30,45,2019-10-08,2019-10-10 21:18:39,ACH,ACH,CREDIT,3725.97,3725.97,Synthetic ach transaction,,,TXN00000000000030,POSTED,2019-10-08 00:00:00
31,3,2011-12-13,2011-12-14 11:35:09,ACH,ACH,CREDIT,2508.39,2508.39,Synthetic ach transaction,,,TXN00000000000031,POSTED,2011-12-13 00:00:00
32,43,2016-07-16,2016-07-17 09:18:04,DEBIT_CARD,CARD,DEBIT,103.51,-103.51,Synthetic debit card transaction,River Cafe,,TXN00000000000032,POSTED,2016-07-16 00:00:00
33,145,2022-07-06,2022-07-07 08:08:21,DEBIT_CARD,CARD,DEBIT,245.29,-245.29,Synthetic debit card transaction,North Star Grocery,,TXN00000000000033,POSTED,2022-07-06 00:00:00
34,140,2024-07-31,2024-08-02 11:28:20,WITHDRAWAL,BRANCH,DEBIT,1135.34,-1135.34,Synthetic withdrawal transaction,,4.0,TXN00000000000034,POSTED,2024-07-31 00:00:00
35,23,2025-07-05,2025-07-06 07:10:41,DEPOSIT,BRANCH,CREDIT,10335.36,10335.36,Synthetic deposit transaction,,6.0,TXN00000000000035,POSTED,2025-07-05 00:00:00
36,43,2017-10-22,2017-10-22 12:15:39,DEPOSIT,ACH,CREDIT,6396.72,6396.72,Synthetic deposit transaction,,,TXN00000000000036,POSTED,2017-10-22 00:00:00
37,83,2021-06-03,2021-06-03 09:14:22,DEBIT_CARD,CARD,DEBIT,413.69,-413.69,Synthetic debit card transaction,River Cafe,,TXN00000000000037,POSTED,2021-06-03 00:00:00
38,34,2022-08-17,2022-08-18 06:09:46,ACH,ACH,CREDIT,3475.12,3475.12,Synthetic ach transaction,,,TXN00000000000038,POSTED,2022-08-17 00:00:00
39,97,2026-05-13,2026-05-14 18:22:36,ACH,ACH,DEBIT,2741.81,-2741.81,Synthetic ach transaction,,,TXN00000000000039,POSTED,2026-05-13 00:00:00
40,1,2013-01-30,2013-01-30 15:25:35,DEPOSIT,BRANCH,CREDIT,2629.6,2629.6,Synthetic deposit transaction,,24.0,TXN00000000000040,POSTED,2013-01-30 00:00:00
41,127,2013-03-11,2013-03-13 17:06:37,DEBIT_CARD,CARD,DEBIT,256.07,-256.07,Synthetic debit card transaction,Pine Pharmacy,,TXN00000000000041,POSTED,2013-03-11 00:00:00
42,13,2020-06-21,2020-06-22 07:09:05,ACH,ACH,CREDIT,2752.7,2752.7,Synthetic ach transaction,,,TXN00000000000042,REVERSED,2020-06-21 00:00:00
43,52,2021-09-12,2021-09-13 03:04:36,DEPOSIT,MOBILE,CREDIT,7861.96,7861.96,Synthetic deposit transaction,,,TXN00000000000043,POSTED,2021-09-12 00:00:00
44,43,2015-11-06,2015-11-06 05:40:31,DEBIT_CARD,CARD,DEBIT,317.55,-317.55,Synthetic debit card transaction,North Star Grocery,,TXN00000000000044,POSTED,2015-11-06 00:00:00
45,34,2026-06-26,2026-06-27 06:45:07,ATM,ATM,CREDIT,493.92,493.92,Synthetic atm transaction,,,TXN00000000000045,REVERSED,2026-06-26 00:00:00
46,34,2025-03-08,2025-03-09 03:52:08,ACH,ACH,CREDIT,2221.18,2221.18,Synthetic ach transaction,,,TXN00000000000046,POSTED,2025-03-08 00:00:00
47,35,2015-06-20,2015-06-21 05:58:47,ACH,ACH,DEBIT,3777.78,-3777.78,Synthetic ach transaction,,,TXN00000000000047,POSTED,2015-06-20 00:00:00
48,114,2021-06-15,2021-06-17 09:36:16,ACH,ACH,DEBIT,2125.43,-2125.43,Synthetic ach transaction,,,TXN00000000000048,POSTED,2021-06-15 00:00:00
49,36,2023-11-03,2023-11-05 13:40:54,DEBIT_CARD,CARD,DEBIT,351.2,-351.2,Synthetic debit card transaction,Home Supply Center,,TXN00000000000049,POSTED,2023-11-03 00:00:00
50,78,2023-05-30,2023-05-30 08:12:35,DEBIT_CARD,CARD,DEBIT,353.36,-353.36,Synthetic debit card transaction,Metro Fuel,,TXN00000000000050,POSTED,2023-05-30 00:00:00
51,62,2026-06-05,2026-06-06 17:23:17,CHECK,BRANCH,DEBIT,545.29,-545.29,Synthetic check transaction,,23.0,TXN00000000000051,POSTED,2026-06-05 00:00:00
52,108,2021-04-21,2021-04-21 02:54:00,DEBIT_CARD,CARD,DEBIT,265.55,-265.55,Synthetic debit card transaction,North Star Grocery,,TXN00000000000052,POSTED,2021-04-21 00:00:00
53,16,2025-11-06,2025-11-06 11:07:04,DEBIT_CARD,CARD,DEBIT,39.85,-39.85,Synthetic debit card transaction,Online Marketplace,,TXN00000000000053,POSTED,2025-11-06 00:00:00
54,72,2020-12-22,2020-12-23 23:19:11,DEBIT_CARD,CARD,DEBIT,177.66,-177.66,Synthetic debit card transaction,Home Supply Center,,TXN00000000000054,POSTED,2020-12-22 00:00:00
55,17,2023-06-15,2023-06-16 20:35:09,FEE,INTERNAL,DEBIT,41.99,-41.99,Synthetic fee transaction,,,TXN00000000000055,POSTED,2023-06-15 00:00:00
56,15,2020-07-25,2020-07-27 21:23:47,FEE,INTERNAL,DEBIT,33.06,-33.06,Synthetic fee transaction,,,TXN00000000000056,POSTED,2020-07-25 00:00:00
57,89,2024-10-26,2024-10-26 08:35:47,DEBIT_CARD,CARD,DEBIT,338.15,-338.15,Synthetic debit card transaction,River Cafe,,TXN00000000000057,POSTED,2024-10-26 00:00:00
58,8,2022-12-31,2022-12-31 04:02:13,DEPOSIT,MOBILE,CREDIT,5963.85,5963.85,Synthetic deposit transaction,,,TXN00000000000058,POSTED,2022-12-31 00:00:00
59,128,2025-03-05,2025-03-05 16:37:54,DEBIT_CARD,CARD,DEBIT,402.74,-402.74,Synthetic debit card transaction,Home Supply Center,,TXN00000000000059,POSTED,2025-03-05 00:00:00
60,131,2023-04-24,2023-04-26 19:48:18,ACH,ACH,DEBIT,2313.3,-2313.3,Synthetic ach transaction,,,TXN00000000000060,POSTED,2023-04-24 00:00:00
61,10,2021-02-17,2021-02-17 19:45:08,DEPOSIT,MOBILE,CREDIT,5006.75,5006.75,Synthetic deposit transaction,,,TXN00000000000061,POSTED,2021-02-17 00:00:00
62,20,2025-02-23,2025-02-25 15:03:45,DEBIT_CARD,CARD,DEBIT,429.47,-429.47,Synthetic debit card transaction,North Star Grocery,,TXN00000000000062,POSTED,2025-02-23 00:00:00
63,73,2026-07-12,2026-07-13 17:03:18,DEPOSIT,ACH,CREDIT,115.47,115.47,Synthetic deposit transaction,,,TXN00000000000063,POSTED,2026-07-12 00:00:00
64,78,2026-05-28,2026-05-30 05:20:10,CHECK,MOBILE,DEBIT,3991.19,-3991.19,Synthetic check transaction,,,TXN00000000000064,POSTED,2026-05-28 00:00:00
65,140,2024-09-24,2024-09-24 00:41:55,ACH,ACH,CREDIT,3824.75,3824.75,Synthetic ach transaction,,,TXN00000000000065,POSTED,2024-09-24 00:00:00
66,86,2011-10-15,2011-10-16 11:49:42,DEPOSIT,BRANCH,CREDIT,6367.18,6367.18,Synthetic deposit transaction,,23.0,TXN00000000000066,POSTED,2011-10-15 00:00:00
67,16,2024-05-31,2024-06-02 22:57:53,INTEREST,INTERNAL,CREDIT,175.21,175.21,Synthetic interest transaction,,,TXN00000000000067,POSTED,2024-05-31 00:00:00
68,22,2020-08-10,2020-08-10 17:14:28,ACH,ACH,DEBIT,2624.02,-2624.02,Synthetic ach transaction,,,TXN00000000000068,POSTED,2020-08-10 00:00:00
69,75,2019-04-22,2019-04-22 14:45:39,DEPOSIT,MOBILE,CREDIT,3278.03,3278.03,Synthetic deposit transaction,,,TXN00000000000069,POSTED,2019-04-22 00:00:00
70,35,2025-05-17,2025-05-19 22:14:33,ACH,ACH,DEBIT,2453.91,-2453.91,Synthetic ach transaction,,,TXN00000000000070,POSTED,2025-05-17 00:00:00
71,54,2021-03-23,2021-03-25 02:44:42,DEBIT_CARD,CARD,DEBIT,364.0,-364.0,Synthetic debit card transaction,River Cafe,,TXN00000000000071,POSTED,2021-03-23 00:00:00
72,11,2018-03-25,2018-03-25 03:33:52,DEPOSIT,BRANCH,CREDIT,11621.43,11621.43,Synthetic deposit transaction,,8.0,TXN00000000000072,POSTED,2018-03-25 00:00:00
73,77,2019-11-23,2019-11-23 06:53:51,DEPOSIT,MOBILE,CREDIT,6680.33,6680.33,Synthetic deposit transaction,,,TXN00000000000073,POSTED,2019-11-23 00:00:00
74,119,2021-09-06,2021-09-06 09:31:06,DEPOSIT,BRANCH,CREDIT,9967.86,9967.86,Synthetic deposit transaction,,14.0,TXN00000000000074,REVERSED,2021-09-06 00:00:00
75,51,2023-06-30,2023-07-01 08:17:22,DEBIT_CARD,CARD,DEBIT,448.73,-448.73,Synthetic debit card transaction,Metro Fuel,,TXN00000000000075,POSTED,2023-06-30 00:00:00
76,33,2022-11-19,2022-11-20 07:32:29,WITHDRAWAL,ATM,DEBIT,145.58,-145.58,Synthetic withdrawal transaction,,,TXN00000000000076,POSTED,2022-11-19 00:00:00
77,102,2014-04-14,2014-04-14 10:49:22,ACH,ACH,CREDIT,1668.02,1668.02,Synthetic ach transaction,,,TXN00000000000077,POSTED,2014-04-14 00:00:00
78,9,2026-01-16,2026-01-16 06:23:15,CHECK,MOBILE,DEBIT,3533.46,-3533.46,Synthetic check transaction,,,TXN00000000000078,POSTED,2026-01-16 00:00:00
79,72,2024-05-01,2024-05-02 01:03:06,ACH,ACH,DEBIT,2891.11,-2891.11,Synthetic ach transaction,,,TXN00000000000079,POSTED,2024-05-01 00:00:00
80,145,2022-09-02,2022-09-04 08:41:29,DEBIT_CARD,CARD,DEBIT,269.91,-269.91,Synthetic debit card transaction,North Star Grocery,,TXN00000000000080,POSTED,2022-09-02 00:00:00
81,72,2020-09-10,2020-09-11 23:49:53,DEPOSIT,ACH,CREDIT,11688.28,11688.28,Synthetic deposit transaction,,,TXN00000000000081,POSTED,2020-09-10 00:00:00
82,62,2026-02-06,2026-02-07 19:08:45,DEBIT_CARD,CARD,DEBIT,161.6,-161.6,Synthetic debit card transaction,Metro Fuel,,TXN00000000000082,POSTED,2026-02-06 00:00:00
83,82,2024-04-11,2024-04-12 17:00:15,DEPOSIT,ACH,CREDIT,11371.75,11371.75,Synthetic deposit transaction,,,TXN00000000000083,POSTED,2024-04-11 00:00:00
84,49,2026-06-05,2026-06-06 19:48:42,WITHDRAWAL,ATM,DEBIT,114.15,-114.15,Synthetic withdrawal transaction,,,TXN00000000000084,POSTED,2026-06-05 00:00:00
85,57,2014-07-14,2014-07-16 18:54:12,DEBIT_CARD,CARD,DEBIT,363.48,-363.48,Synthetic debit card transaction,River Cafe,,TXN00000000000085,POSTED,2014-07-14 00:00:00
86,83,2006-12-19,2006-12-20 18:40:20,ACH,ACH,DEBIT,4234.61,-4234.61,Synthetic ach transaction,,,TXN00000000000086,POSTED,2006-12-19 00:00:00
87,26,2021-09-15,2021-09-15 12:41:06,DEBIT_CARD,CARD,DEBIT,356.95,-356.95,Synthetic debit card transaction,Pine Pharmacy,,TXN00000000000087,POSTED,2021-09-15 00:00:00
88,144,2023-07-14,2023-07-14 21:26:45,DEPOSIT,ACH,CREDIT,4553.04,4553.04,Synthetic deposit transaction,,,TXN00000000000088,POSTED,2023-07-14 00:00:00
89,33,2023-05-13,,INTEREST,INTERNAL,CREDIT,230.26,230.26,Synthetic interest transaction,,,TXN00000000000089,PENDING,2023-05-13 00:00:00
90,57,2016-06-02,2016-06-02 12:13:30,WITHDRAWAL,BRANCH,DEBIT,610.23,-610.23,Synthetic withdrawal transaction,,25.0,TXN00000000000090,REVERSED,2016-06-02 00:00:00
91,23,2024-12-05,2024-12-05 03:30:21,DEBIT_CARD,CARD,DEBIT,159.67,-159.67,Synthetic debit card transaction,North Star Grocery,,TXN00000000000091,POSTED,2024-12-05 00:00:00
92,99,2023-07-22,2023-07-24 12:21:06,DEPOSIT,MOBILE,CREDIT,4227.75,4227.75,Synthetic deposit transaction,,,TXN00000000000092,POSTED,2023-07-22 00:00:00
93,123,2012-01-29,2012-01-30 00:53:22,ACH,ACH,DEBIT,1585.24,-1585.24,Synthetic ach transaction,,,TXN00000000000093,POSTED,2012-01-29 00:00:00
94,44,2021-05-08,2021-05-09 23:35:46,ACH,ACH,DEBIT,4234.42,-4234.42,Synthetic ach transaction,,,TXN00000000000094,POSTED,2021-05-08 00:00:00
95,43,2024-06-03,2024-06-05 05:09:18,ACH,ACH,DEBIT,4190.75,-4190.75,Synthetic ach transaction,,,TXN00000000000095,POSTED,2024-06-03 00:00:00
96,139,2018-09-26,2018-09-27 11:44:59,FEE,INTERNAL,DEBIT,20.72,-20.72,Synthetic fee transaction,,,TXN00000000000096,POSTED,2018-09-26 00:00:00
97,40,2019-03-11,2019-03-12 22:28:17,DEBIT_CARD,CARD,DEBIT,92.25,-92.25,Synthetic debit card transaction,North Star Grocery,,TXN00000000000097,POSTED,2019-03-11 00:00:00
98,75,2015-04-16,2015-04-17 22:44:21,DEBIT_CARD,CARD,DEBIT,221.63,-221.63,Synthetic debit card transaction,Home Supply Center,,TXN00000000000098,POSTED,2015-04-16 00:00:00
99,140,2025-07-12,2025-07-12 16:28:28,WIRE,BRANCH,CREDIT,6950.75,6950.75,Synthetic wire transaction,,4.0,TXN00000000000099,POSTED,2025-07-12 00:00:00
100,69,2025-06-24,2025-06-25 16:18:43,ACH,ACH,DEBIT,5824.97,-5824.97,Synthetic ach transaction,,,TXN00000000000100,POSTED,2025-06-24 00:00:00
101,16,2025-10-14,2025-10-16 17:44:17,DEPOSIT,ACH,CREDIT,5725.62,5725.62,Synthetic deposit transaction,,,TXN00000000000101,POSTED,2025-10-14 00:00:00
102,9,2024-10-14,2024-10-14 15:25:45,CHECK,BRANCH,DEBIT,3797.26,-3797.26,Synthetic check transaction,,6.0,TXN00000000000102,POSTED,2024-10-14 00:00:00
103,50,2011-04-27,2011-04-29 18:19:21,ACH,ACH,DEBIT,5008.8,-5008.8,Synthetic ach transaction,,,TXN00000000000103,POSTED,2011-04-27 00:00:00
104,18,2011-03-20,2011-03-21 21:22:10,DEBIT_CARD,CARD,DEBIT,412.97,-412.97,Synthetic debit card transaction,North Star Grocery,,TXN00000000000104,POSTED,2011-03-20 00:00:00
105,134,2018-12-09,2018-12-11 09:12:58,DEBIT_CARD,CARD,DEBIT,416.44,-416.44,Synthetic debit card transaction,Online Marketplace,,TXN00000000000105,POSTED,2018-12-09 00:00:00
106,74,2025-04-17,2025-04-17 12:32:21,DEPOSIT,MOBILE,CREDIT,6872.84,6872.84,Synthetic deposit transaction,,,TXN00000000000106,POSTED,2025-04-17 00:00:00
107,71,2022-11-12,2022-11-12 19:33:27,ACH,ACH,CREDIT,319.51,319.51,Synthetic ach transaction,,,TXN00000000000107,POSTED,2022-11-12 00:00:00
108,96,2015-04-26,2015-04-28 15:16:16,DEBIT_CARD,CARD,DEBIT,386.63,-386.63,Synthetic debit card transaction,Home Supply Center,,TXN00000000000108,POSTED,2015-04-26 00:00:00
109,59,2014-12-21,2014-12-21 15:23:34,DEBIT_CARD,CARD,DEBIT,273.43,-273.43,Synthetic debit card transaction,North Star Grocery,,TXN00000000000109,POSTED,2014-12-21 00:00:00
110,105,2025-11-15,2025-11-16 05:22:24,DEPOSIT,ACH,CREDIT,806.09,806.09,Synthetic deposit transaction,,,TXN00000000000110,POSTED,2025-11-15 00:00:00
111,35,2024-01-08,2024-01-09 09:14:15,DEPOSIT,BRANCH,CREDIT,10046.98,10046.98,Synthetic deposit transaction,,6.0,TXN00000000000111,POSTED,2024-01-08 00:00:00
112,13,2023-12-31,2023-12-31 02:13:31,INTEREST,INTERNAL,CREDIT,158.86,158.86,Synthetic interest transaction,,,TXN00000000000112,POSTED,2023-12-31 00:00:00
113,62,2026-04-01,2026-04-03 02:09:38,DEBIT_CARD,CARD,DEBIT,156.88,-156.88,Synthetic debit card transaction,River Cafe,,TXN00000000000113,POSTED,2026-04-01 00:00:00
114,24,2019-12-10,2019-12-11 05:49:09,ACH,ACH,DEBIT,4074.23,-4074.23,Synthetic ach transaction,,,TXN00000000000114,POSTED,2019-12-10 00:00:00
115,132,2015-11-14,2015-11-14 18:22:42,DEPOSIT,BRANCH,CREDIT,7221.68,7221.68,Synthetic deposit transaction,,21.0,TXN00000000000115,POSTED,2015-11-14 00:00:00
116,79,2025-06-18,2025-06-18 22:00:05,WITHDRAWAL,ATM,DEBIT,1158.32,-1158.32,Synthetic withdrawal transaction,,,TXN00000000000116,POSTED,2025-06-18 00:00:00
117,134,2018-12-31,2018-12-31 20:35:02,CHECK,BRANCH,DEBIT,2254.6,-2254.6,Synthetic check transaction,,17.0,TXN00000000000117,POSTED,2018-12-31 00:00:00
118,77,2024-08-26,2024-08-28 03:46:48,ACH,ACH,DEBIT,5172.41,-5172.41,Synthetic ach transaction,,,TXN00000000000118,POSTED,2024-08-26 00:00:00
119,77,2019-02-02,2019-02-03 23:43:29,ACH,ACH,DEBIT,4092.52,-4092.52,Synthetic ach transaction,,,TXN00000000000119,POSTED,2019-02-02 00:00:00
120,128,2012-07-13,,ATM,ATM,CREDIT,358.15,358.15,Synthetic atm transaction,,,TXN00000000000120,REJECTED,2012-07-13 00:00:00
121,49,2023-08-29,2023-08-31 13:12:48,INTEREST,INTERNAL,CREDIT,126.83,126.83,Synthetic interest transaction,,,TXN00000000000121,POSTED,2023-08-29 00:00:00
122,143,2014-04-14,2014-04-14 13:19:50,DEBIT_CARD,CARD,DEBIT,327.16,-327.16,Synthetic debit card transaction,Online Marketplace,,TXN00000000000122,POSTED,2014-04-14 00:00:00
123,86,2026-06-08,2026-06-09 09:46:12,ACH,ACH,CREDIT,2245.8,2245.8,Synthetic ach transaction,,,TXN00000000000123,POSTED,2026-06-08 00:00:00
124,31,2026-02-14,2026-02-14 21:43:32,ACH,ACH,DEBIT,5208.3,-5208.3,Synthetic ach transaction,,,TXN00000000000124,POSTED,2026-02-14 00:00:00
125,106,2010-01-31,2010-02-02 18:01:05,DEPOSIT,BRANCH,CREDIT,4922.12,4922.12,Synthetic deposit transaction,,24.0,TXN00000000000125,POSTED,2010-01-31 00:00:00
126,118,2018-01-27,2018-01-27 04:13:27,DEBIT_CARD,CARD,DEBIT,285.07,-285.07,Synthetic debit card transaction,Metro Fuel,,TXN00000000000126,POSTED,2018-01-27 00:00:00
127,2,2022-02-24,2022-02-25 05:22:27,DEBIT_CARD,CARD,DEBIT,60.84,-60.84,Synthetic debit card transaction,Pine Pharmacy,,TXN00000000000127,POSTED,2022-02-24 00:00:00
128,110,2019-04-14,2019-04-15 14:40:07,DEBIT_CARD,CARD,DEBIT,427.68,-427.68,Synthetic debit card transaction,River Cafe,,TXN00000000000128,POSTED,2019-04-14 00:00:00
129,49,2021-11-01,2021-11-02 12:39:06,FEE,INTERNAL,DEBIT,17.48,-17.48,Synthetic fee transaction,,,TXN00000000000129,POSTED,2021-11-01 00:00:00
130,79,2013-03-23,2013-03-23 09:44:32,ACH,ACH,DEBIT,2616.15,-2616.15,Synthetic ach transaction,,,TXN00000000000130,POSTED,2013-03-23 00:00:00
131,88,2025-08-15,2025-08-15 15:22:42,DEBIT_CARD,CARD,DEBIT,105.1,-105.1,Synthetic debit card transaction,Home Supply Center,,TXN00000000000131,REVERSED,2025-08-15 00:00:00
132,6,2021-06-16,2021-06-17 14:56:17,DEBIT_CARD,CARD,DEBIT,170.71,-170.71,Synthetic debit card transaction,Home Supply Center,,TXN00000000000132,POSTED,2021-06-16 00:00:00
133,13,2020-06-29,2020-06-30 15:51:06,FEE,INTERNAL,DEBIT,21.67,-21.67,Synthetic fee transaction,,,TXN00000000000133,POSTED,2020-06-29 00:00:00
134,65,2023-08-24,2023-08-24 19:39:32,INTEREST,INTERNAL,CREDIT,165.42,165.42,Synthetic interest transaction,,,TXN00000000000134,POSTED,2023-08-24 00:00:00
135,36,2024-10-18,2024-10-19 20:20:46,DEPOSIT,MOBILE,CREDIT,9421.43,9421.43,Synthetic deposit transaction,,,TXN00000000000135,POSTED,2024-10-18 00:00:00
136,52,2023-03-03,2023-03-04 12:08:36,DEPOSIT,ACH,CREDIT,3558.31,3558.31,Synthetic deposit transaction,,,TXN00000000000136,POSTED,2023-03-03 00:00:00
137,54,2023-11-15,2023-11-17 12:49:11,WITHDRAWAL,BRANCH,DEBIT,1685.65,-1685.65,Synthetic withdrawal transaction,,15.0,TXN00000000000137,POSTED,2023-11-15 00:00:00
138,147,2024-08-25,,ACH,ACH,DEBIT,2754.09,-2754.09,Synthetic ach transaction,,,TXN00000000000138,PENDING,2024-08-25 00:00:00
139,68,2018-07-27,2018-07-29 13:59:09,ACH,ACH,DEBIT,2570.32,-2570.32,Synthetic ach transaction,,,TXN00000000000139,POSTED,2018-07-27 00:00:00
140,12,2020-06-06,2020-06-08 05:22:49,DEPOSIT,MOBILE,CREDIT,11461.97,11461.97,Synthetic deposit transaction,,,TXN00000000000140,POSTED,2020-06-06 00:00:00
141,24,2021-11-26,2021-11-27 04:05:13,DEPOSIT,MOBILE,CREDIT,11548.47,11548.47,Synthetic deposit transaction,,,TXN00000000000141,POSTED,2021-11-26 00:00:00
142,123,2016-06-23,2016-06-23 07:33:07,CHECK,BRANCH,DEBIT,3926.65,-3926.65,Synthetic check transaction,,4.0,TXN00000000000142,POSTED,2016-06-23 00:00:00
143,107,2026-01-16,2026-01-18 01:50:28,DEBIT_CARD,CARD,DEBIT,351.29,-351.29,Synthetic debit card transaction,Online Marketplace,,TXN00000000000143,POSTED,2026-01-16 00:00:00
144,34,2025-03-30,2025-03-30 00:54:00,WITHDRAWAL,BRANCH,DEBIT,177.07,-177.07,Synthetic withdrawal transaction,,14.0,TXN00000000000144,POSTED,2025-03-30 00:00:00
